Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
1,60,8450,7,5,2003,2003,150,856,1710,548,208500
2,20,9600,6,8,1976,1976,284,1262,1262,460,181500
3,60,11250,7,5,2001,2002,434,920,1786,608,223500
4,70,9550,7,5,1915,1970,540,756,1717,642,140000
5,60,14260,8,5,2000,2000,490,1145,2198,836,250000
6,50,14115,5,5,1993,1995,64,796,1362,480,143000
7,20,10084,8,5,2004,2005,317,1686,1694,636,307000
8,60,10382,7,6,1973,1973,216,1107,2090,484,200000
9,50,6120,7,5,1931,1950,952,952,1774,468,129900
10,190,7420,5,6,1939,1950,140,991,1077,205,118000
11,20,11200,5,5,1965,1965,134,1040,1040,384,129500
12,60,11924,9,5,2005,2006,177,1175,2324,736,345000
13,20,12968,5,6,1962,1962,175,912,912,352,144000
14,20,10652,7,5,2006,2007,1494,1494,1494,840,279500
15,20,10920,6,5,1960,1960,520,1253,1253,352,157000
16,45,6120,7,8,1929,2001,832,832,854,576,132000
17,20,11241,6,7,1970,1970,426,1004,1004,480,149000
18,90,10791,4,5,1967,1967,0,0,1296,516,90000
19,20,13695,5,5,2004,2004,468,1114,1114,576,159000
20,20,7560,5,6,1958,1965,525,1029,1339,294,139000
21,60,14215,8,5,2005,2006,1158,1158,2376,853,325300
22,45,7449,7,7,1930,1950,637,637,1108,280,139400
23,20,9742,8,5,2002,2002,1777,1777,1795,534,230000
24,120,4224,5,7,1976,1976,200,1040,1060,572,129900
25,20,8246,5,8,1968,2001,204,1060,1060,270,154000
26,20,14230,8,5,2007,2007,1566,1566,1600,890,256300
27,20,7200,5,7,1951,2000,180,900,900,576,134800
28,20,11478,8,5,2007,2008,486,1704,1704,772,306000
29,20,16321,5,6,1957,1997,207,1484,1600,319,207500
30,30,6324,4,6,1927,1950,520,520,520,240,68500
31,70,8500,4,4,1920,1950,649,649,1317,250,40000
32,20,8544,5,6,1966,2006,1228,1228,1228,271,149350
33,20,11049,8,5,2007,2007,1234,1234,1234,484,179900
34,20,10552,5,5,1959,1959,380,1398,1700,447,165500
35,120,7313,9,5,2005,2005,408,1561,1561,556,277500
36,60,13418,8,5,2004,2005,1117,1117,2452,691,309000
37,20,10859,5,5,1994,1995,1097,1097,1097,672,145000
38,20,8532,5,6,1954,1990,84,1297,1297,498,153000
39,20,7922,5,7,1953,2007,326,1057,1057,246,109000
40,90,6040,4,5,1955,1955,0,0,1152,0,82000
41,20,8658,6,5,1965,1965,445,1088,1324,440,160000
42,20,16905,5,6,1959,1959,383,1350,1328,308,170000
43,85,9180,5,7,1983,1983,0,840,884,504,144000
44,20,9200,5,6,1975,1980,167,938,938,308,130250
45,20,7945,5,6,1959,1959,465,1150,1150,300,141000
46,120,7658,9,5,2005,2005,1296,1752,1752,576,319900
47,50,12822,7,5,2003,2003,83,1434,2149,670,239686
48,20,11096,8,5,2006,2006,1632,1656,1656,826,249700
49,190,4456,4,5,1920,2008,736,736,1452,0,113000
50,20,7742,5,7,1966,1966,192,955,955,386,127000
51,60,13869,6,6,1997,1997,612,794,1470,388,177000
52,50,6240,6,6,1934,1950,816,816,1176,528,114500
53,90,8472,5,5,1963,1963,0,816,816,516,110000
54,20,50271,9,5,1981,1987,32,1842,1842,894,385000
55,80,7134,5,5,1955,1955,0,384,1360,572,130000
56,20,10175,6,5,1964,1964,935,1425,1425,576,180500
57,160,2645,8,5,1999,2000,321,970,1739,480,172500
58,60,11645,7,5,2004,2004,860,860,1720,565,196500
59,60,13682,10,5,2006,2006,1410,1410,2945,641,438780
60,20,7200,5,7,1972,1972,148,780,780,352,124900
61,20,13072,6,5,2004,2004,217,1158,1158,576,158000
62,75,7200,5,7,1920,1996,530,530,1111,288,101000
63,120,6442,8,5,2006,2006,1346,1370,1370,484,202500
64,70,10300,7,6,1921,1950,576,576,1710,480,140000
65,60,9375,7,5,1997,1998,318,1057,2034,645,219500
66,60,9591,8,5,2004,2005,1143,1143,2473,852,317000
67,20,19900,7,5,1970,1989,1035,1947,2207,576,180000
68,20,10665,7,5,2003,2003,440,1453,1479,558,226000
69,30,4608,4,6,1945,1950,747,747,747,220,80000
70,50,15593,7,4,1953,1953,701,1304,2287,667,225000
71,20,13651,7,6,1973,1973,343,2223,2223,516,244000
72,20,7599,4,6,1982,2006,280,845,845,360,129500
73,60,10141,7,5,1998,1998,832,832,1718,427,185000
74,20,10200,5,7,1954,2003,404,1086,1086,490,144900
75,50,5790,3,6,1915,1950,840,840,1605,379,107400
76,180,1596,4,5,1973,1973,0,462,988,297,91000
77,20,8475,4,7,1956,1956,724,952,952,283,135750
78,50,8635,5,5,1948,2001,295,672,1285,240,127000
79,90,10778,4,5,1968,1968,1768,1768,1768,0,136500
80,50,10440,5,6,1910,1981,440,440,1230,440,110000
81,60,13000,6,6,1968,1968,448,896,2142,509,193500
82,120,4500,6,5,1998,1998,36,1237,1337,405,153500
83,20,10206,8,5,2007,2007,1530,1563,1563,758,245000
84,20,8892,5,5,1960,1960,1065,1065,1065,461,126500
85,80,8530,7,5,1995,1996,384,384,1474,400,168500
86,60,16059,8,5,1991,1992,1288,1288,2417,462,260000
87,60,11911,6,5,2005,2005,684,684,1560,400,174000
88,160,3951,6,5,2009,2009,612,612,1224,528,164500
89,50,8470,3,2,1915,1982,1013,1013,1526,0,85000
90,20,8070,4,5,1994,1995,402,990,990,0,123600
91,20,7200,4,5,1950,1950,0,0,1040,420,109900
92,20,8500,5,3,1961,1961,635,1235,1235,480,98600
93,30,13360,5,7,1921,2006,163,876,964,432,163500
94,190,7200,6,6,1910,1998,168,1214,2291,506,133900
95,60,9337,6,5,1997,1997,176,824,1786,684,204750
96,60,9765,6,8,1993,1993,370,680,1470,420,185000
97,20,10264,7,5,1999,1999,426,1588,1588,472,214000
98,20,10921,4,5,1965,1965,440,960,960,432,94750
99,30,10625,5,5,1920,1950,350,458,835,366,83000
100,20,9320,4,5,1959,1959,381,950,1225,0,128950
101,20,10603,6,7,1977,2001,410,1610,1610,480,205000
102,60,9206,6,5,1985,1985,741,741,1732,476,178000
103,90,7018,5,5,1979,1979,0,0,1535,410,118964
104,20,10402,7,5,2009,2009,1226,1226,1226,740,198900
105,50,7758,7,4,1931,1950,816,1040,1818,240,169500
106,60,9375,8,5,2003,2004,1053,1053,1992,648,250000
107,30,10800,4,7,1885,1995,641,641,1047,273,100000
108,20,6000,5,5,1948,1950,516,789,789,250,115000
109,50,8500,5,7,1919,2005,793,793,1517,0,115000
110,20,11751,6,6,1977,1977,1139,1844,1844,546,190000
111,50,9525,6,4,1954,1972,550,994,1855,325,136900
112,80,7750,7,5,2000,2000,134,384,1430,400,180000
113,60,9965,7,5,2007,2007,280,1264,2696,792,383970
114,20,21000,6,5,1953,1953,905,1809,2259,450,217000
115,70,7259,6,8,1945,2002,104,1028,2320,180,259500
116,160,3230,6,5,1999,1999,310,729,1458,440,176000
117,20,11616,5,5,1962,1962,252,1092,1092,288,139000
118,20,8536,5,5,2006,2007,1125,1125,1125,430,155000
119,60,12376,7,5,1990,1990,203,1673,3222,594,320000
120,60,8461,6,5,2005,2006,728,728,1456,390,163990
121,80,21453,6,5,1969,1969,0,938,988,540,180000
122,50,6060,4,5,1939,1950,732,732,1123,264,100000
123,20,9464,6,7,1958,1958,510,1080,1080,288,136000
124,120,7892,6,5,1993,1993,899,1199,1199,530,153900
125,20,17043,6,5,1979,1998,1362,1362,1586,435,181000
126,190,6780,6,8,1935,1982,30,520,754,0,84500
127,120,4928,6,5,1976,1976,958,1078,958,440,128000
128,45,4388,5,7,1930,1950,556,672,840,0,87000
129,60,7590,6,5,1966,1966,148,660,1348,453,155000
130,20,8973,5,7,1958,1991,413,1008,1053,750,150000
131,60,14200,7,6,1966,1966,479,924,2157,487,226000
132,60,12224,6,5,2000,2000,297,992,2054,390,244000
133,20,7388,5,6,1959,2002,658,1063,1327,624,150750
134,20,6853,8,5,2001,2002,262,1267,1296,471,220000
135,20,10335,5,6,1968,1993,891,1461,1721,440,180000
136,20,10400,7,6,1970,1970,1304,1304,1682,530,174000
137,20,10355,5,5,1967,1967,519,1214,1214,318,143000
138,90,11070,7,5,1988,1989,1907,1907,1959,766,171000
139,60,9066,8,5,1999,2000,336,1004,1852,660,230000
140,60,15426,6,5,1997,1997,107,928,1764,470,231500
141,20,10500,4,5,1971,1971,432,864,864,0,115000
142,20,11645,7,5,2005,2005,434,1734,1734,660,260000
143,50,8520,5,4,1952,1952,403,910,1385,720,166000
144,20,10335,7,5,1999,1999,811,1490,1501,577,204000
145,90,9100,5,5,1963,1963,396,1728,1728,504,125000
146,160,2522,6,5,2004,2006,970,970,1709,380,130000
147,30,6120,5,7,1931,1993,506,715,875,180,105000
148,60,9505,7,5,2001,2001,884,884,2035,434,222500
149,20,7500,7,5,2004,2005,400,1080,1080,0,141000
150,50,6240,5,4,1936,1950,896,896,1344,240,115000
151,20,10356,5,6,1975,1975,253,969,969,440,122000
152,20,13891,8,5,2007,2008,310,1710,1710,866,372402
153,60,14803,6,5,1971,1971,409,825,1993,495,190000
154,20,13500,6,7,1960,1975,93,1602,1252,564,235000
155,30,11340,6,5,1923,1950,1200,1200,1200,312,125000
156,50,9600,6,5,1924,1950,572,572,1096,0,79000
157,20,7200,5,7,1950,1950,0,0,1040,625,109500
158,60,12003,8,5,2009,2010,774,774,1968,680,269500
159,60,12552,7,5,2004,2005,769,991,1947,678,254900
160,60,19378,7,5,2005,2006,1335,1392,2462,576,320000
161,20,11120,6,6,1984,1984,572,1232,1232,516,162500
162,60,13688,9,5,2003,2004,556,1572,2668,726,412500
163,20,12182,7,5,2005,2005,340,1541,1541,532,220000
164,45,5500,4,6,1956,1956,882,882,882,0,103200
165,40,5400,6,7,1926,2004,779,1149,1616,216,152000
166,190,10106,5,7,1940,1999,112,644,1355,0,127500
167,20,10708,5,5,1955,1993,470,1617,1867,303,190000
168,60,10562,8,5,2007,2007,294,1582,2161,789,325624
169,60,8244,7,5,2004,2004,840,840,1720,440,183500
170,20,16669,8,6,1981,1981,1686,1686,1707,511,228000
171,50,12358,5,6,1941,1950,360,720,1382,660,128500
172,20,31770,6,5,1960,1960,441,1080,1656,528,215000
173,160,5306,7,7,1987,1987,354,1064,1767,504,239000
174,20,10197,6,5,1961,1961,700,1362,1362,504,163000
175,20,12416,6,5,1986,1986,0,1606,1651,616,184000
176,20,12615,6,7,1950,2001,725,1202,2158,576,243000
177,60,10029,6,5,1988,1989,320,1151,2060,521,211000
178,50,13650,5,5,1958,1958,554,1052,1920,451,172500
179,20,17423,9,5,2008,2009,312,2216,2234,1166,501837
180,30,8520,5,6,1923,2006,968,968,968,480,100000
181,160,2117,6,5,2000,2000,320,756,1525,440,177000
182,70,7588,7,6,1920,1950,441,793,1802,216,200100
183,20,9060,5,6,1957,2006,0,0,1340,252,120000
184,50,11426,7,5,2003,2003,1362,1362,2082,484,200000
185,50,7438,5,8,1908,1991,504,504,1252,576,127000
186,75,22950,10,9,1892,1993,1107,1107,3608,840,475000
187,80,9947,7,5,1990,1991,577,1188,1217,497,173000
188,50,10410,5,7,1916,1987,660,660,1656,180,135000
189,90,7018,5,5,1979,1979,0,1086,1224,528,153337
190,120,4923,8,5,2001,2002,440,1593,1593,682,286000
191,70,10570,8,8,1932,1994,556,853,2727,440,315000
192,60,7472,7,9,1972,2004,99,725,1479,484,184000
193,20,9017,7,5,1999,1999,871,1431,1431,666,192000
194,160,2522,7,5,2004,2004,970,970,1709,380,130000
195,20,7180,5,7,1972,1972,474,864,864,352,127000
196,160,2280,6,6,1976,1976,289,855,1456,440,148500
197,20,9416,7,5,2007,2007,600,1726,1726,786,311872
198,75,25419,8,4,1918,1990,140,1360,3112,795,235000
199,75,5520,6,6,1912,1950,755,755,2229,0,104000
200,20,9591,8,5,2004,2005,625,1713,1713,856,274900
201,20,8546,4,5,2003,2004,1121,1121,1121,440,140000
202,20,10125,6,6,1977,1977,276,1196,1279,473,171500
203,50,7000,6,6,1924,1950,0,617,1310,398,112000
204,120,4438,6,5,2004,2004,186,848,848,420,149000
205,50,3500,5,7,1947,1950,408,720,1284,240,110000
206,20,11851,7,5,1990,1990,1424,1424,1442,500,180500
207,20,13673,5,5,1962,1962,1140,1140,1696,349,143900
208,20,12493,4,5,1960,1960,375,1100,1100,312,141000
209,60,14364,7,5,1988,1989,92,1157,2062,454,277000
210,20,8250,6,7,1964,1964,305,1092,1092,504,145000
211,30,5604,5,6,1925,1950,396,864,864,0,98000
212,20,10420,6,5,2009,2009,1176,1212,1212,460,186000
213,60,8640,7,5,2009,2009,78,900,1852,644,252678
214,20,13568,5,5,1995,1995,274,990,990,576,156000
215,60,10900,6,7,1977,1977,311,689,1392,299,161750
216,20,10011,5,6,1957,1996,710,1070,1236,447,134450
217,20,8450,7,5,2004,2004,490,1436,1436,484,210000
218,70,9906,4,4,1925,1950,686,686,1328,210,107000
219,50,15660,7,9,1939,2006,457,798,1954,431,311500
220,120,3010,7,5,2005,2006,1232,1248,1248,438,167240
221,20,8990,7,5,2006,2006,1498,1498,1498,675,204900
222,60,8068,6,5,2002,2002,1010,1010,2267,390,200000
223,60,11475,6,6,1975,1975,163,713,1552,434,179900
224,20,10500,4,6,1971,1971,160,864,864,576,97000
225,20,13472,10,5,2003,2003,2336,2392,2392,968,386250
226,160,1680,5,5,1971,1971,630,630,1302,280,112000
227,60,9950,7,5,1995,1995,638,1203,2520,721,290000
228,160,1869,6,6,1970,1970,162,483,987,280,106000
229,20,8521,5,5,1967,1967,70,912,912,336,125000
230,120,3182,7,5,2005,2006,1357,1373,1555,430,192500
231,20,8760,6,6,1959,1959,1194,1194,1194,312,148000
232,60,15138,8,5,1995,1996,773,1462,2794,810,403000
233,160,1680,6,5,1972,1972,483,483,987,288,94500
234,20,10650,5,6,1976,1976,0,894,894,308,128200
235,60,7851,6,5,2002,2002,235,860,1960,440,216500
236,160,1680,6,3,1971,1971,125,483,987,264,89500
237,20,8773,7,5,2004,2004,1390,1414,1414,494,185500
238,60,9453,7,7,1993,2003,594,996,1744,457,194500
239,20,12030,8,5,2007,2007,1694,1694,1694,818,318000
240,50,8741,6,4,1945,1950,641,735,1487,220,113000
241,20,9000,8,5,2008,2008,488,1566,1566,750,262500
242,30,3880,5,9,1945,1997,357,686,866,0,110500
243,50,5000,5,4,1900,1950,540,540,1440,352,79000
244,160,10762,6,6,1980,1980,626,626,1217,288,120000
245,60,8880,7,5,1994,2002,253,948,2110,463,205000
246,20,10400,7,5,1988,1988,916,1845,1872,604,241500
247,190,9142,6,8,1910,1950,1020,1020,1928,440,137000
248,20,11310,6,5,1954,1954,1367,1367,1375,451,140000
249,60,11317,7,5,2003,2003,840,840,1668,500,180000
250,50,159000,6,7,1958,2006,747,1444,2144,389,277000
251,30,5350,3,2,1940,1966,728,728,1306,0,76500
252,120,4750,8,5,2006,2007,0,1573,1625,538,235000
253,60,8366,6,5,2004,2004,798,798,1640,520,173000
254,80,9350,6,7,1964,1991,452,1302,1302,309,158000
255,20,8400,5,6,1957,1957,392,1314,1314,294,145000
256,60,8738,7,5,1999,1999,975,975,2291,429,230000
257,60,8791,6,5,2003,2003,361,864,1728,673,207500
258,20,8814,7,5,2006,2006,270,1604,1604,660,220000
259,60,12435,7,5,2001,2001,602,963,1792,564,231500
260,20,12702,5,5,1956,1956,0,0,882,308,97000
261,80,19296,6,5,1962,1962,0,1362,1382,884,176000
262,60,9588,8,5,2007,2007,1482,1482,2574,868,276000
263,80,8471,6,7,1977,1995,0,506,1212,492,151000
264,50,5500,5,7,1929,2001,0,926,1316,484,130000
265,30,5232,5,5,1925,2004,680,680,764,504,73000
266,20,12090,6,6,1981,1981,606,1422,1422,576,175500
267,60,11207,6,5,1997,1997,88,802,1511,413,185000
268,75,8400,5,8,1939,1997,342,720,2192,240,179500
269,30,6900,5,6,1940,1955,212,740,778,924,120500
270,20,7917,6,7,1976,1976,392,1143,1113,504,148000
271,60,10728,8,5,2006,2006,1095,1095,1939,1053,266000
272,20,39104,7,7,1954,2005,96,1385,1363,439,241500
273,60,11764,8,7,1999,2007,628,1152,2270,671,290000
274,20,9600,6,6,1958,1988,0,1240,1632,338,139000
275,20,8314,5,7,1982,1982,270,816,816,264,124500
276,50,7264,7,7,1925,2007,952,952,1548,672,205000
277,20,9196,7,5,2003,2003,1560,1560,1560,573,201000
278,20,19138,4,5,1951,1951,744,864,864,400,141000
279,20,14450,9,5,2006,2007,2121,2121,2121,732,415298
280,60,10005,7,5,1977,1977,768,1160,2022,505,192000
281,60,11287,7,6,1989,1989,386,807,1982,575,228500
282,20,7200,6,5,2006,2006,357,1262,1262,572,185000
283,120,5063,7,5,2007,2008,410,1314,1314,626,207500
284,20,9612,8,5,2008,2009,1468,1468,1468,898,244600
285,120,8012,6,5,1992,1992,1145,1575,1575,529,179200
286,160,4251,7,5,2006,2007,625,625,1250,528,164700
287,50,9786,6,7,1962,1981,312,912,1734,440,159000
288,20,8125,4,4,1971,1971,244,858,858,0,88000
289,20,9819,5,5,1967,1967,432,882,900,280,122000
290,70,8730,6,7,1915,2003,698,698,1396,384,153575
291,60,15611,8,5,2006,2006,1079,1079,1919,685,233230
292,190,5687,5,6,1912,2000,570,780,1716,0,135900
293,50,11409,5,4,1949,2008,476,768,1716,281,131000
294,60,16659,7,7,1977,1994,0,795,2263,539,235000
295,20,9600,6,5,1953,1953,131,1416,1644,418,167000
296,80,7937,6,6,1984,1984,184,1003,1003,588,142500
297,50,13710,5,5,1950,1950,490,910,1558,282,152000
298,60,7399,7,5,1997,1998,326,975,1950,576,239000
299,60,11700,6,6,1968,1968,143,702,1743,539,175000
300,20,14000,6,8,1950,2004,1092,1092,1152,300,158500
301,190,15750,5,5,1953,1953,324,1165,1336,375,157000
302,60,16226,8,5,1998,1999,747,1028,2452,683,267000
303,20,13704,7,5,2001,2002,1541,1541,1541,843,205000
304,20,9800,5,7,1972,1972,0,894,894,552,149900
305,75,18386,7,9,1880,2002,1470,1470,3493,870,295000
306,20,10386,8,5,2004,2005,536,2000,2000,888,305900
307,60,13474,7,5,1990,1991,0,700,2243,746,225000
308,50,7920,6,7,1920,1950,319,319,1406,0,89500
309,30,12342,4,5,1940,1950,599,861,861,539,82500
310,20,12378,9,5,2003,2004,622,1896,1944,708,360000
311,60,7685,6,5,1993,1994,179,697,1501,420,165600
312,20,8000,6,6,1948,2002,292,972,972,240,132000
313,190,7800,5,7,1939,1950,286,793,1118,410,119900
314,20,215245,7,5,1965,1965,80,2136,2036,513,375000
315,70,9600,7,7,1925,1990,712,728,1641,546,178000
316,60,7795,7,5,2004,2005,291,716,1432,432,188500
317,60,13005,7,7,1980,1980,153,845,2353,484,260000
318,60,9000,8,5,2006,2006,1088,1088,1959,1025,270000
319,60,9900,7,5,1993,1993,360,1347,2646,656,260000
320,80,14115,7,5,1980,1980,336,1372,1472,588,187500
321,60,16259,9,5,2006,2006,1249,1249,2596,840,342643
322,60,12099,8,5,2004,2004,166,1136,2468,872,354000
323,60,10380,7,5,1986,1987,0,1502,2730,576,301000
324,20,5820,3,8,1955,2005,906,1162,1163,220,126175
325,80,11275,7,7,1967,2007,710,710,2978,564,242000
326,45,5000,5,6,1941,1950,604,720,803,360,87000
327,120,10846,8,5,1993,1993,100,1719,1719,473,324000
328,20,11600,6,5,1960,1960,818,1383,1383,292,145250
329,75,11888,6,6,1916,1994,844,844,2134,441,214500
330,70,6402,5,5,1920,1950,596,596,1192,189,78000
331,90,10624,5,4,1964,1964,1424,1728,1728,352,119000
332,20,8176,5,6,1958,1992,210,1056,1056,308,139000
333,20,10655,8,5,2003,2004,1603,3206,1629,880,284000
334,120,8198,7,5,2004,2004,638,1358,1358,484,207000
335,60,9042,6,5,1998,1998,115,943,1638,472,192000
336,190,164660,5,6,1965,1965,103,1499,1786,529,228950
337,20,14157,9,5,2005,2006,673,1922,1922,676,377426
338,20,9135,7,5,2002,2003,726,1536,1536,532,214000
339,20,14145,7,7,1984,1998,995,1208,1621,440,202500
340,20,12400,6,7,1958,1998,630,1215,1215,297,155000
341,60,14191,8,5,2002,2002,967,967,1908,431,202900
342,20,8400,4,4,1950,1950,721,721,841,294,82000
343,90,8544,3,4,1949,1950,0,0,1040,400,87500
344,120,8849,9,5,2005,2005,1656,1684,1684,564,266000
345,160,2592,5,3,1976,1976,175,536,1112,336,85000
346,50,6435,6,5,1939,1950,972,972,1577,312,140200
347,20,12772,6,8,1960,1998,460,958,958,301,151500
348,20,17600,6,5,1960,1960,208,1478,1478,498,157500
349,160,2448,7,5,2003,2004,191,764,1626,474,154000
350,60,20431,9,5,2005,2006,438,1848,2728,706,437154
351,120,7820,9,5,2007,2007,1869,1869,1869,617,318061
352,120,5271,7,5,1986,1986,371,1453,1453,445,190000
353,50,9084,5,6,1941,1950,0,616,1111,200,95000
354,30,8520,6,8,1928,2003,624,624,720,484,105900
355,50,8400,6,5,1940,2000,552,940,1595,240,140000
356,20,11249,6,5,1995,1995,322,1200,1200,521,177500
357,20,9248,6,6,1992,1992,598,1158,1167,400,173000
358,120,4224,5,5,1976,1976,268,1142,1142,528,134000
359,80,6930,5,4,1958,1958,468,1062,1352,288,130000
360,60,12011,8,5,1998,1998,130,1086,1924,592,280000
361,85,7540,6,6,1978,1978,115,888,912,470,156000
362,50,9144,5,5,1940,1982,484,883,1505,240,145000
363,85,7301,7,5,2003,2003,0,0,1922,672,198500
364,160,1680,6,8,1972,2007,321,483,987,264,118000
365,60,18800,6,5,1976,1976,84,796,1574,566,190000
366,70,10690,5,7,1920,1997,216,672,1344,468,147000
